trait,attribute,family
ven,"148–149 for males, 129–142 for females",viperidae
occipital and temporal scales,strongly keeled,viperidae
il of the first pair,not in contact each with the other,viperidae
hemipenes,"short, massive and spiny",viperidae
snout,twice as long as the diameter of the eye,viperidae
eye,as long as its distance from the mouth,viperidae
rostral,broader than high,viperidae
upper head-scales,small,viperidae
supraoculars,broken up into three or four scales,viperidae
supraoculars,"strongly erect, form a horn-like appendage",viperidae
internasals,slightly raised at their outer margins,viperidae
supralabials,nine,viperidae
loreal pit,second supralabial forming the anterior border,viperidae
supralabial below the eye,"fourth supralabial, separated from it by three rows of small scales",viperidae
postoculars,three or four,viperidae
temporals,"small, keeled",viperidae
infralabials,thirteen or fourteen,viperidae
sublinguals,"a single pair, elongated",viperidae
scales,"21. 21. 17 rows, keeled",viperidae
ventrals,193,viperidae
anal,single,viperidae
subcaudals,68 pairs,viperidae
tail,"not quite complete, slightly prehensile",viperidae
dorsal color,greyish brown,viperidae
dorsal spots,"two series of squarish darker spots, edged with blackish",viperidae
lateral spots,whitish,viperidae
ventral color,"whitish, thickly powdered with brown",viperidae
head spots,"small, irregular, brown",viperidae
total length,587 mm,viperidae
tail length,107 mm,viperidae
scales,in 23–25 longitudinal rows at midbody,viperidae
first upper labial,partially or completely fused to nasal,viperidae
upper labials,9-13,viperidae
rows of scales,1-2,viperidae
scales in a line between supraoculars,11–14,viperidae
supraoculars,rarely divided,viperidae
temporal scales,"small, strongly keeled",viperidae
ventrals (males),153-174,viperidae
ventrals (females),151-180,viperidae
subcaudals (males),62-79,viperidae
subcaudals (females),49-61,viperidae
paired shields,occasionally unpaired,viperidae
head color,uniform green,viperidae
dorsum color,bright green,viperidae
ventrolateral stripe color (males),light,viperidae
tail,spotted with brown,viperidae
hemipenes,without spines,viperidae
total length (males),575 mm,viperidae
total length (females),1045mm,viperidae
tail length (males),120 mm,viperidae
tail length (females),165 mm,viperidae
scales on head and chin,smooth or irregularly keeled,viperidae
second upper labial,fused to scale forming anterior border of facial pit,viperidae
body scales,"21 longitudinal rows around midbody, 29 rows around neck",viperidae
light stripe,distinct,viperidae
outer scale row,having a series of light spots,viperidae
dorsal color,"highly variable, with dark pigments present, usally blue green, green, or dark blue gray, sometimes as scattered, irregular spots or blothches, also as distinct crossbars",viperidae
tail,not distinctly differentiated from body by color,viperidae
hematopenes,without spines,viperidae
ventrals,"170-182 (males 170-178, females 177-1820)",viperidae
subcaudals,"58-71 (males 62-71, females 58-63)",viperidae
ventral scale count,158–179,viperidae
snout to vent length (svl),up to 679 mm,viperidae
dorsal scales,keeled,viperidae
anterior dorsal scale rows(dsr),19–21,viperidae
mid-body scale rows (msr),19–21,viperidae
posterior scale rows (psr),15,viperidae
head,prominent,viperidae
rostral scale,sub triangular,viperidae
supraoculars,separated,viperidae
canthus rostralis,distinct,viperidae
nasal scale,"completely covering the aperture of the nostril, undivided and subrectangular",viperidae
loreal pit,present in contact with the second supralabial,viperidae
infralabials,11–13,viperidae
ventrals,158–179,viperidae
anal scale,undivided,viperidae
subcaudals,divided 54–67,viperidae
head/dorsum color,"verdant green, leaf green, bluish green",viperidae
saddle shaped markings on the dorsum,black,viperidae
preocular/ temporal stripe,"black, sometimes green fading into black",viperidae
ventrals,"bright yellow, creamish yellow, dirty white",viperidae
possession of hemipenis,"intermediate length lobes, covered to the tip with numerous long thin spines",viperidae
body,elongate,viperidae
head,long and massive in adults,viperidae
body color,deep green or dark green,viperidae
dorsolateral spots,"white or pink, irregular in shape and size, usually conspicuous",viperidae
pale ventrolateral stripe,"broad, on the first two dorsal scale rows",viperidae
dsr at midbody,21 (in a sole specimen 23),viperidae
1st supralabial,distinct from nasal scale,viperidae
internasals,"large, most usually in contact, only exceptionally separated by 1 scale (6 out of 42 specimens)",viperidae
supralabials,"1 or 2 (3rd or 3rd–4th sl), rarely 3 (3rd–4th–5th sl), in contact with subocular",viperidae
supraoculars,"elongate, not distinctly broad, separated by 5–9 (usually 6–7) scales",viperidae
tail ratio tal/tl,between 0.190 and 0.225 in males and 0.143 and 0.185 in females,viperidae
ven,176–196,viperidae
sc,59–91 (males: 72–91; females: 59–78),viperidae
eye color,"dark grey, pale yellow, or yellowish-green",viperidae
postocular streak,"narrow, white, cream, pale yellow, uniform or mixed with reddish-brown or salmon (pink or cream in preservative)",viperidae
venter color,yellowish-green or pale green,viperidae
tail color,"green as the body anteriorly, with large pinkish-red, salmon or red blotches on the upper surface of its anterior half, becoming fused and turning the tail entirely into hues of red on its posterior half",viperidae
snout,"quite long, rounded when seen from above, obliquely truncated when seen from the side, with a moderate canthus rostralis",viperidae
anterior part of body and tail color,"uniform brown as anterior part of body and bluish-green above the snout, lower temporals",viperidae
body color variation,"from bluish-green on the lower part of the side, i.e. on 1st–4th dsr, quickly darker, dark greyish- or greenish-blue above 4th dsr",viperidae
dsr at midbody,21-23,viperidae
total length of species,"1,230 mm (although gumprecht et al have mentioned 1,400 mm, but no such large specimen found)",viperidae
nasals,"subrectangular or pentagonal, entire or with traces of a shallow furrow",viperidae
snout,24.0–26.0% as long as head or 2.0–2.6 times as long as diameter of the eye,viperidae
eye,"average, amounting for 0.6–0.9 times the distance eye–lower edge of the lip in both sexes",viperidae
ratio tal/tl,"0.143–0.225, with a clear sexual dimorphism: males: 0.190–0.225; females: 0.143–0.185",viperidae
dsr,21-23,viperidae
ven,176–196,viperidae
sc,59–91,viperidae
venter color,"pale green, pale bluish green, pale greenish yellow or yellowish green in life (green, yellowish green or bluish green in preservative)",viperidae
tail color,"green on the anterior part, quickly turns to pale pinkish-red or salmon (cream in preservative), distinctly paler than on its upper surface",viperidae
dorsum color in juveniles,more uniform than in adults and pallor dorsolateral spots or blotches may be missing,viperidae
genus peltopelor,"long calyculate hemipenis, enlarged head scales",viperidae
snout,twice as long as the diameter of the eye,viperidae
upper head scales,"very large, smooth, strongly imbricate",viperidae
supraoculars,very large,viperidae
internasals,large,viperidae
supralabials,7-8,viperidae
subocular,elongate,viperidae
temporal scales,"2 rows, smooth or feebly keeled",viperidae
scales,"in 17: 12 to 15:9 or 10 rows, strongly imbricate and keeled",viperidae
v. male,133-140,viperidae
v. female,135-143,viperidae
c. male,53-56,viperidae
c. female,44-58,viperidae
tail,prehensile,viperidae
hemipenis,"extending to the 20th-21st caudal plate, forked opposite the 5th, calculate throughout",viperidae
coloration,"bright green above, paler beneath",viperidae
interstitial skin and under surface of the scales,blackish,viperidae
a line along scale-row 1,whitish or yellow,viperidae
postocular stripe,black,viperidae
upper lip,pale green,viperidae
total length male,475,viperidae
length of male tail,110,viperidae
total length female,580,viperidae
length of female tail,115,viperidae
coloration,"typical ""green pitviper""",viperidae
dorsal color,uniform green,viperidae
lateral stripe,present on the first few dorsal scale rows in one or both sexes,viperidae
first supralabial and nasal scale,fused,viperidae
eye,relatively larger size,viperidae
supraoculars,relatively wider,viperidae
head shape,"more elongate–oval in c. albolabris, c. insularis and c. septentrionalis, but widens quite abruptly behind the eyes in c. cardamomensis sp. nov., c. macrops s.s. and c. rubeus sp. nov.",viperidae
population,north of the palghat gap,viperidae
divergence at cyt b and 16s,8.3–9% and 1.2–2.2%,viperidae
neotype,"good condition, small lesion near the nape",viperidae
body,"slender, cylindrical",viperidae
svl,481 mm,viperidae
tl,73 mm,viperidae
dorsal scales,"keeled, anterior dorsal scale rows (dsr) 21, mid body scale rows (msr) 21 and posterior scale rows (psr) 13",viperidae
head,"prominent, length 24.3 mm, small, mildly keeled scales, easily distinguished from neck",viperidae
rostral scale,"trapezoid, lower side roughly more than twice the size of the upper side, tip visible from above",viperidae
supraoculars,"divided, separated by eight cephalic scales, bordered by seven scales",viperidae
canthus rostralis,"distinct, with four canthal scales",viperidae
preoculars,three,viperidae
postoculars,two,viperidae
subocular,thin elongated crescent shaped,viperidae
eye,"a distinct elliptical pupil, vertical diameter of the eye 3.31 mm and horizontal diameter 3.68 mm",viperidae
temporal scales and cephalic scales in the posterior sides above the mandibular joint,strongly keeled,viperidae
nostril,"completely covered by the nasal scale, undivided and sub-pentagonal shaped",viperidae
nostril,in contact with the first two canthal scales and the 1st and 2nd supralabial,viperidae
loreal pit,"present, in contact with the second supralabial and the 2nd and 3rd preoculars",viperidae
supralabials,nine,viperidae
infralabials,twelve,viperidae
first pair of genials,"in contact with the 1st, 2nd and 3rd infralabial scale",viperidae
ventrals,148,viperidae
anal scale,undivided,viperidae
subcaudals scales,"divided, 38",viperidae
terminal scale on the tail,"larger than the previous scale, blunt at the tip",viperidae
svl,up to 670 mm,viperidae
tl,up to 126 mm,viperidae
colours,"dark brownish red, light green",viperidae
dsr,19-22,viperidae
msr,19-23,viperidae
psr,13-15,viperidae
ventrals,145-149,viperidae
subcaudals,52-54,viperidae
supplabials,8-10,viperidae
infralabials,10-13,viperidae
colour morphs,"greenish blue-cyan, bright yellow, green, rufous brown, bright orange and red",viperidae
